id,title,category,commits,mini_srs,confidence_score,src_loc,integration_test_commit,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
milestone_001,Plugin System Core Improvements,Feature,9b3d3d1;66eaac2;d041cb3;1166a0f;adef0ea,"This milestone delivers comprehensive improvements to the Navidrome plugin system core infrastructure. It includes disabling plugin warnings and folder creation when plugins are disabled (a3d1a9d), enabling metrics collection for all plugin types beyond MetadataAgents (9b3d3d1), implementing callback metrics with refactored base capability architecture (66eaac2), correcting initialization error handling and metrics recording (d041cb3), enhancing error mapping in the checkErr function for proper API error constant handling (1166a0f), resolving race conditions in plugin manager registration (adef0ea), and extending telemetry/insights collection with plugin awareness (9dbe0c1).",0.92,1064,,2025-07-02T13:17:59-04:00,2025-07-28T13:21:10-04:00,1068,571,497,570,494,plugins/adapter_media_agent_test.go;plugins/base_capability_test.go;plugins/host_scheduler_test.go;plugins/host_websocket_test.go;plugins/manager_test.go;plugins/manifest_permissions_test.go;plugins/plugin_lifecycle_manager_test.go;plugins/runtime_test.go;plugins/testdata/fake_init_service/plugin.go;plugins/wasm_base_plugin_test.go,cmd/wire_injectors.go;conf/configuration.go;core/scrobbler/play_tracker.go;core/agents/agents.go;core/metrics/insights.go;core/metrics/insights/data.go;plugins/adapter_media_agent.go;plugins/adapter_scheduler_callback.go;plugins/adapter_scrobbler.go;plugins/adapter_websocket_callback.go;plugins/api/errors.go;plugins/base_capability.go;plugins/examples/README.md;plugins/examples/coverartarchive/plugin.go;plugins/examples/crypto-ticker/README.md;plugins/examples/crypto-ticker/plugin.go;plugins/examples/discord-rich-presence/rpc.go;plugins/examples/subsonicapi-demo/plugin.go;plugins/examples/wikimedia/plugin.go;plugins/host_scheduler.go;plugins/host_websocket.go;plugins/manager.go;plugins/plugin_lifecycle_manager.go;plugins/runtime.go;plugins/wasm_base_plugin.go
milestone_002,Plugin API Extensions,Feature,a3d1a9d;5b73a4d;d75ebc5;5ea14ba,"This milestone extends the plugin API with new functionality and fixes. It adds a TimeNow RPC method to SchedulerService providing RFC3339Nano timestamp, Unix milliseconds, and local timezone information for timezone-aware plugin operations (5b73a4d). It fixes unnecessary 'no proxy IP found' log spam when plugins use the Subsonic API with reverse proxy authentication (d75ebc5). It also corrects the Discord Rich Presence plugin documentation (5ea14ba).",0.78,99,,2025-07-13T14:23:58-04:00,2025-07-28T10:18:49-04:00,99,90,9,90,9,plugins/host_scheduler_test.go,plugins/README.md;plugins/api/api.proto;plugins/api/api_plugin_dev_named_registry.go;plugins/examples/discord-rich-presence/README.md;plugins/host/scheduler/scheduler.proto;plugins/host_scheduler.go;server/subsonic/middlewares.go
milestone_003_sub-01,Multi-Library Database and Persistence Foundation,Feature,bb4ffc1;ffe9bf1;e9a8d7e;36d73ee;c8915ec,"This sub-milestone establishes the database schema and persistence layer for multi-library support. It adds the database migration for user_library table and library access methods (bb4ffc1), implements library filtering across all data repositories including albums, artists, folders, and media files (ffe9bf1), and includes minor fixes for artist repository comments (e9a8d7e), tag foreign key constraints (36d73ee), and artist sorting performance (c8915ec).",0.95,1226,5248b9c,2025-07-21T16:33:17-04:00,2025-12-30T19:58:10-08:00,1226,951,275,951,275,persistence/tag_repository_test.go,db/migrations/20250701010108_add_multi_library_support.go;model/album.go;model/artist.go;model/criteria/fields.go;model/errors.go;model/folder.go;model/library.go;model/mediafile.go;model/metadata/legacy_ids.go;model/metadata/map_mediafile.go;model/metadata/persistent_ids.go;model/playlist.go;model/searchable.go;model/tag.go;model/user.go;persistence/album_repository.go;persistence/artist_repository.go;persistence/folder_repository.go;persistence/genre_repository.go;persistence/library_repository.go;persistence/mediafile_repository.go;persistence/playlist_repository.go;persistence/playlist_track_repository.go;persistence/scrobble_buffer_repository.go;persistence/sql_annotations.go;persistence/sql_base_repository.go;persistence/sql_bookmarks.go;persistence/sql_search.go;persistence/sql_tags.go;persistence/tag_repository.go;persistence/transcoding_repository.go;persistence/user_repository.go
milestone_003_sub-02,Multi-Library Core Service and Scanner,Feature,2edb969;9dbe0c1,"This sub-milestone implements the core library service and scanner updates for multi-library support. It adds the Library service with REST repository pattern, scanner and watcher integration for library lifecycle events, cross-library move detection, and album annotation reassignment (2edb969).",0.95,991,,2025-07-28T13:21:10-04:00,2025-12-30T19:59:34-08:00,991,895,96,895,96,,cmd/root.go;cmd/wire_injectors.go;core/artwork/cache_warmer.go;core/library.go;core/mock_library_service.go;core/playlists.go;core/scrobbler/play_tracker.go;core/wire_providers.go;scanner/controller.go;scanner/phase_1_folders.go;scanner/phase_2_missing_tracks.go;scanner/scanner.go;scanner/watcher.go
milestone_003_sub-03,Multi-Library Server APIs,Feature,e7e1651;c193bb2;eeef98e;9f46204,"This sub-milestone implements multi-library support for native and Subsonic APIs. It adds library management endpoints and multi-library filtering for all Subsonic API endpoints (e7e1651), fixes headless library access for shares and external providers (c193bb2), optimizes search3 performance with multi-library (eeef98e), and fixes artist search in search3 endpoint (9f46204).",0.95,610,,2025-07-19T16:44:07-04:00,2025-12-30T20:00:50-08:00,610,444,166,444,166,persistence/artist_repository_test.go;persistence/genre_repository_test.go;persistence/mediafile_repository_test.go;persistence/persistence_suite_test.go;persistence/share_repository_test.go;persistence/sql_base_repository_test.go;persistence/tag_library_filtering_test.go;tests/mock_album_repo.go;tests/mock_artist_repo.go;tests/mock_mediafile_repo.go,core/share.go;model/searchable.go;model/tag.go;persistence/album_repository.go;persistence/artist_repository.go;persistence/genre_repository.go;persistence/mediafile_repository.go;persistence/scrobble_buffer_repository.go;persistence/share_repository.go;persistence/sql_base_repository.go;persistence/sql_participations.go;persistence/sql_search.go;persistence/sql_tags.go;server/events/events.go;server/events/sse.go;server/nativeapi/config.go;server/nativeapi/inspect.go;server/nativeapi/library.go;server/nativeapi/native_api.go;server/subsonic/album_lists.go;server/subsonic/browsing.go;server/subsonic/filter/filters.go;server/subsonic/helpers.go;server/subsonic/playlists.go;server/subsonic/searching.go;ui/src/artist/ArtistList.jsx
milestone_003_sub-04,Multi-Library UI Components,Feature,b71a777;a60bea7,"This sub-milestone implements the multi-library user interface with React components. It adds LibrarySelector for global library selection, SelectLibraryInput with master checkbox, library pages for management, and integrates library selection into user forms and data provider (b71a777). It also fixes NumberInput replacement in LibraryEdit (a60bea7).",0.95,1571,,2025-07-18T21:43:52-04:00,2025-12-30T20:02:10-08:00,1624,1553,71,1553,18,,ui/src/App.jsx;ui/src/actions/index.js;ui/src/actions/library.js;ui/src/album/AlbumInfo.jsx;ui/src/common/LibrarySelector.jsx;ui/src/common/SelectLibraryInput.jsx;ui/src/common/SongInfo.jsx;ui/src/common/index.js;ui/src/common/useLibrarySelection.js;ui/src/common/useRefreshOnEvents.jsx;ui/src/common/useResourceRefresh.jsx;ui/src/dataProvider/wrapperDataProvider.js;ui/src/layout/Menu.jsx;ui/src/library/DeleteLibraryButton.jsx;ui/src/library/LibraryCreate.jsx;ui/src/library/LibraryEdit.jsx;ui/src/library/LibraryList.jsx;ui/src/library/index.js;ui/src/missing/MissingFilesList.jsx;ui/src/reducers/index.js;ui/src/reducers/libraryReducer.js;ui/src/store/createAdminStore.js;ui/src/user/LibrarySelectionField.jsx;ui/src/user/UserCreate.jsx;ui/src/user/UserEdit.jsx;ui/src/user/userValidation.js;ui/src/utils/formatters.js
milestone_004,Scanner Quality Improvements,Quality,d4f8691;be83d68;3e61b04;39febfa,"This milestone includes scanner quality improvements: adding cover art extraction support for DSF, WavPack, and WMA formats (d4f8691), fixing misleading custom tag split config message (be83d68), ensuring custom tags work after configuration changes (3e61b04), and preventing foreign key constraint errors in album participant insertion (39febfa).",0.85,90,,2025-07-02T22:04:27-04:00,2025-07-26T21:40:41-04:00,92,72,20,71,19,adapters/taglib/end_to_end_test.go;adapters/taglib/taglib_test.go;persistence/album_repository_test.go,adapters/taglib/taglib_wrapper.cpp;model/tag_mappings.go;persistence/sql_participations.go
milestone_005,Metadata and File Handling Fixes,Quality,d28a282;6730716;0da2352,"This milestone fixes metadata and file handling issues: Apple Music Unicode playlist import for accented characters (d28a282), lyrics tag parsing to handle both ID3 and Vorbis formats (6730716), and URL path handling for special characters (0da2352).",0.85,31,,2025-07-09T00:27:40-03:00,2025-07-26T11:27:35-04:00,34,28,6,26,5,adapters/taglib/end_to_end_test.go;core/playlists_test.go;core/storage/local/local_suite_test.go;core/storage/local/local_test.go;core/storage/storage_test.go;tests/fixtures/mixed-lyrics.flac,core/playlists.go;core/storage/storage.go;model/metadata/metadata.go
milestone_006,UI Quality Improvements,Quality,445880c;089dbe9;65961cc;1de84db;3c1e560;a30fa47,"This milestone includes UI quality improvements: preventing disabled context menu items from triggering actions (445880c), removing unused CSS classes (089dbe9), adding replaygain for Artist Radio and Top Songs (65961cc), replacing translation keys with direct characters (1de84db), hiding year '0' display (3c1e560), and resetting activity panel error icon (a30fa47).",0.78,97,,2025-07-08T17:41:14-03:00,2025-07-23T19:43:42-04:00,127,80,47,70,27,ui/src/album/AlbumDatesField.test.jsx;ui/src/artist/ArtistActions.test.jsx;ui/src/common/SongContextMenu.test.jsx;ui/src/dialogs/SelectPlaylistInput.test.jsx;ui/src/layout/ActivityPanel.test.jsx,ui/src/album/AlbumDatesField.jsx;ui/src/artist/actions.js;ui/src/common/SongContextMenu.jsx;ui/src/dialogs/SelectPlaylistInput.jsx;ui/src/layout/ActivityPanel.jsx
milestone_007,Agent Logic Streamlining,Maintenance,f1f1fd2,This milestone streamlines the agent loading logic in core/agents/agents.go by removing the unnecessary caching mechanism and introducing a structured EnabledAgent type. The change simplifies how built-in and plugin agents are loaded and managed.,0.85,152,,2025-07-05T10:11:35-03:00,2025-07-05T10:11:35-03:00,152,51,101,51,101,core/agents/agents_plugin_test.go;core/agents/agents_test.go,core/agents/agents.go
