id,title,category,commits,integration_test_commit,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
M001.1,Spring Security OAuth2 Serialization Support,Platform,7fa6695;11c151f,,"Implements comprehensive Spring Security OAuth2 serialization support for Dubbo services. Introduces Jackson serialization mixins for OAuth2 token classes (OAuth2AuthenticatedPrincipal, BearerTokenAuthentication, RegisteredClient, ClientSettings, TokenSettings) enabling OAuth2 authentication context transmission across distributed Dubbo services. Includes JDK8/11 compatibility fix declaring OAuth2 settings as Object types to avoid compilation errors with newer Spring Authorization Server class file versions.",0.92,500,2025-06-24T15:52:39+08:00,2025-06-25T15:05:28+08:00,500,496,4,496,4,,dubbo-plugin/dubbo-spring-security/pom.xml;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/jackson/ObjectMapperCodec.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/AuthorizationGrantTypeMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/BearerTokenAuthenticationMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/ClientAuthenticationMethodMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/ClientSettingsMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2AuthenticatedPrincipalMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2ClientAuthenticationTokenMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2SecurityModule.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/RegisteredClientMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/TokenSettingsMixin.java;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/oauth2/UnmodifiableCollectionMixin.java
M001.2,Spring 6 Security Module Split and UTF-8 Standardization,Platform,ea0976b;55d1c09,,"Creates the dubbo-spring6-security module for Spring 6 and Spring Boot 3 users by splitting from dubbo-spring-security, enabling proper module separation for modern Spring framework versions. Also standardizes charset encoding to UTF-8 across security-related codecs and other system components for consistent character handling.",0.92,385,2025-06-24T15:27:39+08:00,2025-06-27T21:57:46+08:00,448,400,48,337,48,,dubbo-common/src/main/java/org/apache/dubbo/common/io/Bytes.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/JVMUtil.java;dubbo-plugin/dubbo-auth/src/main/java/org/apache/dubbo/auth/BasicAuthenticator.java;dubbo-plugin/dubbo-auth/src/main/java/org/apache/dubbo/auth/utils/SignatureUtils.java;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandler.java;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/server/handler/HttpProcessHandler.java;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/server/handler/QosProcessHandler.java;dubbo-plugin/dubbo-spring-security/pom.xml;dubbo-plugin/dubbo-spring-security/src/main/java/org/apache/dubbo/spring/security/jackson/ObjectMapperCodec.java;dubbo-plugin/dubbo-spring6-security/pom.xml;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/AuthorizationGrantTypeMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/BearerTokenAuthenticationMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/ClientAuthenticationMethodMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/ClientSettingsMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2AuthenticatedPrincipalMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2ClientAuthenticationTokenMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/OAuth2SecurityModule.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/RegisteredClientMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/TokenSettingsMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/UnmodifiableCollectionMixin.java;dubbo-plugin/dubbo-spring6-security/src/main/java/org/apache/dubbo/spring/security/oauth2/jackson/OAuth2ObjectMapperCodecCustomer.java;dubbo-plugin/dubbo-spring6-security/src/main/resources/META-INF/dubbo/internal/org.apache.dubbo.spring.security.jackson.ObjectMapperCodecCustomer;dubbo-plugin/dubbo-triple-websocket/src/main/java/org/apache/dubbo/rpc/protocol/tri/websocket/TripleTextMessageHandler.java;dubbo-registry/dubbo-registry-multicast/src/main/java/org/apache/dubbo/registry/multicast/MulticastRegistry.java;dubbo-registry/dubbo-registry-zookeeper/src/main/java/org/apache/dubbo/registry/zookeeper/util/CuratorFrameworkUtils.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/telnet/codec/TelnetCodec.java;dubbo-remoting/dubbo-remoting-zookeeper-curator5/src/main/java/org/apache/dubbo/remoting/zookeeper/curator5/Curator5ZookeeperClient.java;dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/GenericFilter.java
M002,HTTP/2 Connection Preface Protocol Implementation,Platform,c31164a;b85111e;d079dec,,Implements complete HTTP/2 connection preface protocol for both client and server sides to ensure RFC 7540 compliance. The client-side implementation waits for server SETTINGS frame before sending headers to prevent GO_AWAY disconnections when header list size exceeds server limits. The server-side implementation caches outbound messages until client connection preface arrives with 3-second timeout protection. This ensures triple protocol reliability and prevents connection failures in production HTTP/2 deployments.,0.95,458,2025-06-09T17:05:40+08:00,2025-07-20T11:04:00+08:00,458,413,45,413,45,,dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/netty4/h2/NettyHttp2FrameCodec.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/netty4/h2/NettyHttp2SettingsHandler.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyConnectionClient.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/http2/Http2ClientSettingsHandler.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleHttp2Protocol.java
M003.1,Mutiny Module Infrastructure and Build Configuration,Feature,803e5c2,87a54f3,Establishes the foundational infrastructure for the dubbo-mutiny module including Maven dependencies and build configurations. Adds mutiny dependencies to dubbo-dependencies-bom and updates distribution POMs. Creates dubbo-mutiny module with POM configuration and adds Mustache templates for Mutiny Triple protocol code generation.,0.95,358,2025-09-24T16:52:50+08:00,2025-12-18T23:27:04-08:00,458,437,21,337,21,,dubbo-plugin/dubbo-compiler/src/main/resources/Dubbo3TripleInterfaceStub.mustache;dubbo-plugin/dubbo-compiler/src/main/resources/Dubbo3TripleStub.mustache;dubbo-plugin/dubbo-compiler/src/main/resources/MutinyDubbo3TripleInterfaceStub.mustache;dubbo-plugin/dubbo-compiler/src/main/resources/MutinyDubbo3TripleStub.mustache;dubbo-plugin/dubbo-compiler/src/main/resources/ReactorDubbo3TripleInterfaceStub.mustache;dubbo-plugin/dubbo-compiler/src/main/resources/ReactorDubbo3TripleStub.mustache;dubbo-plugin/dubbo-mutiny/pom.xml
M003.3,Complete Mutiny Reactive Streaming Support,Feature,1dc1a06;2ac0c7b;5c0bd7f,,"Provide an end-to-end Mutiny integration for Dubbo Triple streaming. A backpressure-aware publisher/subscriber layer must bridge Java Flow and Dubbo stream observers on both client and server. Call utilities then expose all four RPC shapes through Uni and Multi, method handlers connect generated stubs to service implementations, and the compiler provides the Mutiny generator entry point for those stubs. Cancellation, terminal signals, error conversion, lifecycle hooks, and generator selection must remain consistent across the complete stack.  ### Requirements Summary  1. **FR1**: Mutiny Publisher Contract Across Client and Server Streams 2. **FR2**: Mutiny Subscriber Contract Across Client and Server Streams 3. **FR3**: Mutiny Client Call Utilities 4. **FR4**: Mutiny Server Call Utilities 5. **FR5**: Mutiny Method Handlers 6. **FR6**: Mutiny Code Generator  ### Affected Modules  - dubbo-plugin/dubbo-mutiny publisher/subscriber abstractions - dubbo-plugin/dubbo-mutiny client/server call utilities and method handlers - dubbo-plugin/dubbo-compiler Mutiny generator entry point",0.95,998,2025-12-18T23:27:43-08:00,2025-12-18T23:28:06-08:00,998,998,0,998,0,,dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/AbstractTripleMutinyPublisher.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/AbstractTripleMutinySubscriber.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/ClientTripleMutinyPublisher.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/ClientTripleMutinySubscriber.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/ServerTripleMutinyPublisher.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/ServerTripleMutinySubscriber.java;dubbo-plugin/dubbo-compiler/src/main/java/org/apache/dubbo/gen/tri/mutiny/MutinyDubbo3TripleGenerator.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/calls/MutinyClientCalls.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/calls/MutinyServerCalls.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/handler/ManyToManyMethodHandler.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/handler/ManyToOneMethodHandler.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/handler/OneToManyMethodHandler.java;dubbo-plugin/dubbo-mutiny/src/main/java/org/apache/dubbo/mutiny/handler/OneToOneMethodHandler.java
M004,Enhanced Server-Sent Events (SSE) Support,Feature,a37bc2c;770c8ad;3e8d1f5,,This milestone enhances Server-Sent Events (SSE) streaming capabilities in Dubbo's HTTP/1.1 and HTTP/2 protocols for modern real-time communication patterns including AI/LLM streaming use cases. It introduces a standardized ServerSentEvent class following the HTML specification with support for event ID event type retry duration comments and data payload. The implementation adds proper SSE encoding through ServerSentEventEncoder and fixes critical edge cases including empty stream handling and JSON content support. Changes span both HTTP/1 and HTTP/2 channel observers ensuring consistent SSE behavior across protocol versions.,0.92,497,2025-05-15T21:37:43+08:00,2025-06-23T09:39:11+08:00,522,477,45,452,45,,dubbo-plugin/dubbo-rest-jaxrs/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/support/jaxrs/FallbackArgumentResolver.java;dubbo-plugin/dubbo-rest-spring/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/support/spring/FallbackArgumentResolver.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/AbstractServerHttpChannelObserver.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/HttpConstants.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/ServerSentEvent.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/ServerSentEventEncoder.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/ReflectionPackableMethod.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/ServerStreamServerCallListener.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/http1/DefaultHttp11ServerTransportListener.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/http1/Http1SseServerChannelObserver.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/http2/Http2SseServerChannelObserver.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/mapping/meta/ParameterMeta.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/support/basic/FallbackArgumentResolver.java
M005.1,Affinity Router Core Infrastructure and Model,Feature,68d60c8,,Introduces the core infrastructure for the Affinity Router feature including main router implementation factory and model classes. Adds AffinityStateRouter for core routing logic with configurable affinity keys and ratio-based fallback. Includes AffinityStateRouterFactory and model classes AffinityRouterRule and AffinityRuleParser for rule parsing and management. Updates Constants.java with affinity-related constants.,0.95,370,2025-12-18T23:29:13-08:00,2025-12-18T23:29:13-08:00,370,370,0,370,0,,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/Constants.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/AffinityStateRouter.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/AffinityStateRouterFactory.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/model/AffinityRouterRule.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/model/AffinityRuleParser.java
M005.2,Affinity Router Config-Based Implementations,Feature,798d89e,,Adds configuration-based router implementations for dynamic configuration support via config center. Includes AffinityListenableStateRouter for listenable state routing AffinityProviderAppStateRouter and AffinityProviderAppStateRouterFactory for application-level routing and AffinityServiceStateRouter and AffinityServiceStateRouterFactory for service-level routing. These implementations enable session stickiness patterns with both service and application level granularity.,0.95,352,2025-12-18T23:29:25-08:00,2025-12-18T23:29:25-08:00,352,352,0,352,0,,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/AffinityListenableStateRouter.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/AffinityProviderAppStateRouter.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/AffinityProviderAppStateRouterFactory.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/AffinityServiceStateRouter.java;dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/affinity/config/AffinityServiceStateRouterFactory.java
M006,RadixTree Multi-Method REST Path Routing Fix,Feature,e849678;4f5ca88,,"This milestone fixes a critical REST routing bug where different HTTP methods could not be registered to the same path in the RadixTree-based request mapping registry, and adds support for StreamObserver parameter matching in proto services. The RadixTree.addPath method is enhanced with a predicate parameter to enable custom equality checks beyond simple object equality, and the Registration class implements isMappingOverlap to properly distinguish mappings with different HTTP methods but same paths. The DefaultRequestMappingRegistry is updated to handle proto service methods with StreamObserver parameters by matching method descriptors without the trailing StreamObserver parameter when necessary.",0.88,175,2025-06-11T18:37:52+08:00,2025-06-18T12:29:36+08:00,222,218,4,171,4,,dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/mapping/DefaultRequestMappingRegistry.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/mapping/RadixTree.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/mapping/Registration.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/mapping/RequestMapping.java;dubbo-rpc/dubbo-rpc-triple/src/test/groovy/org/apache/dubbo/rpc/protocol/tri/rest/mapping/RadixTreeTest.groovy;dubbo-rpc/dubbo-rpc-triple/src/test/groovy/org/apache/dubbo/rpc/protocol/tri/rest/mapping/RegistrationSpec.groovy
M007,Method-Level TPS Rate Limiting,Feature,bc543b6,,"This milestone extends the TPS (Transactions Per Second) limiting capability in Dubbo from service-level granularity to method-level granularity. The DefaultTPSLimiter is enhanced to support per-method rate limiting by constructing StatItem keys that include both service key and method name when method-level TPS configuration is detected. The implementation checks for method-level TPS configuration via hasMethodParameter, and when present, uses a composite key (serviceKey + method name) instead of just serviceKey for maintaining separate rate limiting state per method. This enables fine-grained traffic control to protect high-cost or sensitive service methods from overload while allowing other methods in the same service to operate at different rate limits.",0.92,21,2025-09-18T15:45:21+08:00,2025-09-18T15:45:21+08:00,21,13,8,13,8,,dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/tps/DefaultTPSLimiter.java
