id,title,category,commits,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
milestone_seed_119407d_1_sub-01,Windows Hyperlink Path Performance,Platform,119407d,This sub-milestone optimizes hyperlink path handling on Windows by replacing Path::canonicalize with std::path::absolute to avoid filesystem access. This dramatically improves performance in large repositories with lots of matches by eliminating costly filesystem operations during path resolution.,0.92,53,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,87,61,26,27,26,,crates/printer/src/hyperlink.rs
milestone_seed_119407d_1_sub-02,Hyperlink Alias System Restructuring,Platform,66aa4a6;78383de,This sub-milestone restructures the hyperlink alias system in grep-printer. Commit 66aa4a6 creates a modular hyperlink architecture by splitting hyperlink.rs into hyperlink/mod.rs and hyperlink/aliases.rs exporting a public HyperlinkAlias type with display priority support. Commit 78383de extends this by adding description fields to aliases and improving zsh --hyperlink-format completions.,0.92,276,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,396,277,119,219,57,,crates/core/flags/complete/zsh.rs;crates/core/flags/defs.rs;crates/printer/src/hyperlink/aliases.rs;crates/printer/src/hyperlink/mod.rs;crates/printer/src/hyperlink_aliases.rs;crates/printer/src/lib.rs
milestone_seed_292bc54_1,JSON Output Replace Support,Feature,292bc54,This milestone adds -r/--replace flag support to JSON output mode. Commit 292bc54 introduces a replacement field to each submatch object in JSON output allowing consumers to access both original match text and replacement text without performing substitution themselves. This closes issue #1872 and #2883.,0.88,117,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,119,111,8,109,8,tests/json.rs,crates/core/flags/hiargs.rs;crates/printer/src/json.rs;crates/printer/src/jsont.rs
milestone_seed_5f5da48_1_sub-01,Glob Nested Alternates Support,Feature,5f5da48,This sub-milestone adds support for nested alternations in glob patterns. For example patterns like **/{node_modules/**/*/{ts js} crates/**/*.{rs toml}} are now correctly parsed. This enhancement restructures the Parser with separate alternates_stack and branches tracking.,0.95,65,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,80,51,29,37,28,,crates/globset/src/glob.rs;crates/globset/src/lib.rs
milestone_seed_5f5da48_1_sub-02,Glob Unclosed Class Toggle,Feature,f596a5d,This sub-milestone adds an allow_unclosed_class toggle for gitignore-compatible glob parsing. When enabled patterns like [abc or [] are treated as if the opening bracket is a literal character instead of returning a parse error. This enables compatibility with gitignore behavior.,0.95,119,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,185,168,17,108,11,tests/regression.rs,crates/globset/src/glob.rs;crates/ignore/src/gitignore.rs;crates/ignore/src/overrides.rs
milestone_seed_624bbf7_1,GlobSet API Enhancements,Feature,624bbf7;859d542,This milestone extends the GlobSet public API with two complementary enhancements. The matches_all method enables checking if ALL globs in a set match a given path returning true only when every glob matches. Additionally GlobSet::new is made public and generalized to accept any iterator of Glob references improving ergonomics for users who already have a Vec of Glob.,0.92,111,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,114,94,20,92,19,,crates/globset/src/glob.rs;crates/globset/src/lib.rs
milestone_seed_14f4957_1,Fix gitignore path filtering in subdirectories and parent ignore files,Security,14f4957;0407e10,This milestone fixes critical bugs in gitignore path stripping when searching subdirectories or when .ignore files exist in parent directories. The previous code deleted too many path components when constructing absolute paths for pattern matching causing incorrect gitignore filtering. Commit 14f4957 fixes the core path construction issue and 0407e10 handles an edge case when searching with just a dot path.,0.95,65,2025-09-19T21:08:19-04:00,2025-10-08T21:16:59-04:00,77,52,25,40,25,tests/regression.rs,crates/ignore/src/dir.rs
milestone_seed_b610d1c_1,Fix global gitignore bug with absolute paths,Quality,b610d1c,This milestone fixes how global gitignore files from ~/.gitconfig core.excludesFile or --ignore-file flag are interpreted when ripgrep is given absolute paths to search. Previously anchored patterns like /foo would not match correctly because global gitignores were not properly associated with the current working directory. The fix adds CWD tracking to WalkBuilder and IgnoreBuilder.,0.92,172,2025-10-15T19:44:23-04:00,2025-10-15T19:44:23-04:00,174,163,11,161,11,tests/regression.rs,crates/core/flags/hiargs.rs;crates/ignore/src/dir.rs;crates/ignore/src/gitignore.rs;crates/ignore/src/walk.rs
milestone_seed_94ea38d_1,Add Jujutsu VCS (.jj) directory support,Platform,94ea38d,This milestone adds support for Jujutsu (jj) version control system by recognizing .jj directories alongside .git directories. When a .jj directory is present ripgrep will treat the directory as a VCS repository and respect .gitignore files enabling ripgrep default gitignore-aware behavior for jj repositories.,0.90,18,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,20,18,2,16,2,,crates/ignore/src/dir.rs
milestone_seed_2924d0c_1,Add min_depth option to WalkBuilder,Feature,2924d0c,This milestone adds a min_depth option to WalkBuilder that mimics the eponymous option in walkdir. It allows filtering out directory entries below a minimum depth threshold during traversal. The implementation adds min_depth field to WalkBuilder and WalkParallel propagates it to Worker struct and filters entries in run_one method based on depth comparison.,0.93,51,2025-10-05T10:05:26-04:00,2025-10-05T10:05:26-04:00,96,92,4,47,4,,crates/ignore/src/walk.rs
