id,title,category,commits,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
M001,Upgrade go-redis to v9 with API Modernization,Breaking,368caa7;9e33b55;74b87ac;459d302,"This milestone upgrades the go-redis dependency from v8 to v9, requiring significant changes to hook implementations to conform to the new ProcessHook/ProcessPipelineHook API pattern replacing the deprecated BeforeProcess/AfterProcess callbacks. The upgrade modernizes error handling throughout the Redis module by replacing direct equality comparisons with errors.Is() for better error wrapping support.",0.95,195,2024-01-13T22:40:58+08:00,2024-03-09T12:49:16+00:00,244,107,137,83,112,,core/iox/textlinescanner.go;core/stores/redis/hook.go;core/stores/redis/metrics.go;core/stores/redis/redis.go;core/stores/redis/redisblockingnode.go;core/stores/redis/redisclientmanager.go;core/stores/redis/redisclustermanager.go;core/stores/redis/redislock.go;zrpc/internal/clientinterceptors/tracinginterceptor.go
M002,Redis Hook-Based Architecture with Breaker Migration,Feature,7d90f90;cc2a7e9;fed835b;d371ab5;130e1ba,"This milestone migrates Redis circuit breaker logic from inline wrapping in each method to a separate breakerHook implementation, establishing a clean hook-based architecture that enables composable cross-cutting concerns. The refactoring creates breakerhook.go and renames hook.go to durationhook.go, removing 1444 lines of repetitive wrappers.",0.93,2589,2024-03-12T04:21:33+00:00,2025-10-07T16:46:10+08:00,3020,1336,1684,1056,1533,,core/conf/config.go;core/discov/internal/registry.go;core/logx/rotatelogger.go;core/stores/mon/collection.go;core/stores/mon/model.go;core/stores/redis/breakerhook.go;core/stores/redis/durationhook.go;core/stores/redis/redis.go;core/stores/redis/redisblockingnode.go;core/stores/redis/redisclientmanager.go;core/stores/redis/redisclustermanager.go;core/stores/sqlx/sqlconn.go;core/stores/sqlx/stmt.go;rest/handler/prometheushandler.go;rest/httpc/service.go;zrpc/internal/clientinterceptors/breakerinterceptor.go;zrpc/internal/serverinterceptors/breakerinterceptor.go
M003,Circuit Breaker Algorithm Evolution and Recovery Optimization,Quality,1303e0f;815a4f7;1540bdc;42b3bae;e0c1605;25a807a;bbce95e;95b32b5,"This milestone delivers comprehensive evolution of the circuit breaker algorithm focused on improving failure detection, recovery time, and API usability. The work includes algorithm optimization, context support, adaptive K-factor and force-pass mechanism, and generic RollingWindow infrastructure.",0.93,411,2024-02-15T20:29:24+08:00,2024-05-14T17:02:21+08:00,481,354,127,319,92,,core/breaker/breaker.go;core/breaker/breakers.go;core/breaker/bucket.go;core/breaker/googlebreaker.go;core/breaker/nopbreaker.go;core/collection/rollingwindow.go;core/load/adaptiveshedder.go;core/mathx/range.go
M004,CPU Monitoring and Adaptive Shedding,Quality,9c17499;159ecb7;81d72b5;c08e741;5263805;c98d5fd;a7363f0,"This milestone combines adaptive shedding algorithm optimization with cgroup v2 CPU statistics support. It introduces mathematical range utilities, dynamic overloadFactor function for shedding, and comprehensive cgroup v2 compatibility for CPU monitoring on Linux systems including graceful fallback handling.",0.90,402,2024-01-13T19:36:25+08:00,2024-03-08T22:35:17+08:00,456,274,182,247,155,,core/bloom/bloom.go;core/codec/dh.go;core/collection/cache.go;core/conf/config.go;core/conf/readme.md;core/filex/progressscanner.go;core/fx/stream.go;core/iox/pipe.go;core/iox/textfile.go;core/iox/textlinescanner.go;core/limit/tokenlimit.go;core/load/adaptiveshedder.go;core/load/sheddergroup.go;core/logc/logs.go;core/logx/lesslogger.go;core/logx/logs.go;core/logx/rotatelogger.go;core/mapping/marshaler.go;core/mapping/unmarshaler.go;core/mapping/utils.go;core/mapping/valuer.go;core/mathx/range.go;core/queue/queue.go;core/stat/internal/cgroup_linux.go;core/stat/internal/cpu_linux.go;core/stat/internal/cpu_other.go;core/stat/task.go;core/stores/cache/cacheopt.go;core/stores/redis/conf.go;core/stores/redis/redislock.go;core/stores/sqlx/stmt.go;core/trace/vars.go;rest/config.go;rest/handler/prometheushandler.go;zrpc/config.go
M005,SQL Statement-Level Circuit Breaker Support,Feature,0dfaf13;52e5d85;a66ae0d;927f8bc;682460c,"This milestone introduces statement-level circuit breaker support for SQL operations in the stores/sqlx package. The implementation adds breaker and acceptable function fields to the statement struct, enabling fine-grained failure detection at the statement level.",0.92,280,2024-02-25T11:24:44+08:00,2024-04-11T11:14:20+08:00,289,170,119,166,114,,core/breaker/breakers.go;core/breaker/nopbreaker.go;core/stores/sqlx/orm.go;core/stores/sqlx/sqlconn.go;core/stores/sqlx/stmt.go;core/stores/sqlx/tx.go
M006,SQL Read/Write Separation with Replica Routing,Feature,8c6266f;bae8d4f;a71e56d,This milestone implements read/write separation for SQL database connections with automatic replica routing based on context. It introduces SqlConf configuration supporting primary database and multiple replica datasources with configurable load balancing policies.,0.90,188,2025-07-09T16:04:56+00:00,2025-07-12T06:58:08+08:00,244,202,42,174,14,,core/logx/fields.go;core/logx/richlogger.go;core/stores/sqlx/config.go;core/stores/sqlx/rwstrategy.go;core/stores/sqlx/sqlconn.go;core/stores/sqlx/tx.go
M007.1,Etcd Config Center Infrastructure,Feature,48625fa;8ae0f28;27c4908;44cddec;24d6150;62ba011;caf0e64;f372b98,"This milestone delivers configuration center infrastructure with etcd backend. It provides a generic Configurator interface, dynamic configuration management, and subscriber pattern for config updates.",0.90,460,2023-12-17T05:28:19+00:00,2024-08-28T12:02:48+00:00,666,524,142,421,39,,core/configcenter/configurator.go;core/configcenter/subscriber/etcd.go;core/configcenter/subscriber/subscriber.go;core/configcenter/unmarshaler.go;core/discov/internal/registry.go;core/discov/subscriber.go;zrpc/resolver/internal/kubebuilder.go
M007.2,Etcd Discovery Mechanism Reliability,Feature,588e10d;47d13e5;90afa08;17d98f6;33011c7;bf88310;ae09d0e;b69db5e;d150248;ee6b7ce;82a937d,"This milestone addresses critical reliability issues in the etcd discovery mechanism including memory/goroutine leaks, gRPC resolver problems, and idle manager integration.",0.90,537,2024-05-06T18:16:56+08:00,2025-08-01T23:12:49+08:00,873,520,353,352,185,,core/discov/internal/registry.go;core/discov/internal/updatelistener.go;core/discov/publisher.go;core/discov/subscriber.go;core/jsonx/json.go;rest/handler/authhandler.go;rest/handler/breakerhandler.go;rest/handler/contentsecurityhandler.go;rest/handler/cryptionhandler.go;rest/handler/sheddinghandler.go;rest/httpx/responses.go;rest/internal/security/contentsecurity.go;zrpc/internal/serverinterceptors/recoverinterceptor.go;zrpc/resolver/internal/discovbuilder.go;zrpc/resolver/internal/kubebuilder.go;zrpc/resolver/internal/resolver.go
M008,REST File Server Support,Feature,ec86f22;5dd6f2a;4a14164;5564c43;2e91ba5,"This milestone delivers file server functionality for the REST framework, enabling serving static files. The feature supports both http.Dir and embed.FS file systems, handles root path serving with file existence checking, and includes path normalization.",0.92,117,2024-07-13T19:58:35+08:00,2025-05-11T12:44:43+08:00,177,147,30,117,0,,rest/internal/fileserver/filehandler.go;rest/server.go
M009,HTTP-to-HTTP Gateway Support,Feature,fcc2469;d415ba3;e6b4372;651eabb;b0b31f3;610a734;00e67b9;2583673;8c2f4c1;1fc2cfb,"This milestone extends the gateway to support HTTP-to-HTTP proxying in addition to gRPC-to-HTTP translation. It introduces HttpClientConf configuration, builds HTTP request routing, and includes context propagation fixes and custom middleware support.",0.88,343,2023-12-16T06:37:35+00:00,2025-10-25T12:16:31+08:00,469,331,138,268,75,,core/proc/shutdown.go;core/service/servicegroup.go;gateway/config.go;gateway/internal/headerprocessor.go;gateway/internal/requestparser.go;gateway/server.go;rest/httpc/requests.go
